alegra_id,codigo,referencia,nombre,precio_actual_shopify,precio_mayoristas_con_iva,precio_general_con_iva,diferencia_vs_mayorista,situacion,otras_listas_con_iva
1257,7509552976014,7509552976014,Esmalte Secado Rapido Vino Argentino Vogue,6408,7119.64,9127.75,-711.64,POR DEBAJO del mayorista (-711.64),Lista Subdistribuidor PC=6365.8; clientespremium=6763.66; Lista Supermercados=7119.64
916,7702433289740,7702433289740,Esmalte Fantastic Platino 04 Vogue,4143,4602.86,6056.39,-459.86,POR DEBAJO del mayorista (-459.86),Lista Subdistribuidor PC=4223.8; clientespremium=4487.79; Lista Supermercados=4723.99
934,7702433298445,7702433298445,Esmalte Fantastic Onix 44 Vogue,4143,4602.86,6056.39,-459.86,POR DEBAJO del mayorista (-459.86),Lista Subdistribuidor PC=4223.8; clientespremium=4487.79; Lista Supermercados=4723.99
942,7702433298803,7702433298803,Esmalte Fantastic Caricica 143 Vogue,4143,4602.86,6056.39,-459.86,POR DEBAJO del mayorista (-459.86),Lista Subdistribuidor PC=4223.8; clientespremium=4487.79; Lista Supermercados=4723.99
935,7702433290104,7702433290104,Esmalte Fantastic Amor Amor 60 Vogue,4143,4602.86,6056.39,-459.86,POR DEBAJO del mayorista (-459.86),Lista Subdistribuidor PC=4223.8; clientespremium=4487.79; Lista Supermercados=4723.99
914,7702433298667,7702433298667,Esmalte Fantastic Blanco Armiño 02 Vogue,4143,4602.86,6056.39,-459.86,POR DEBAJO del mayorista (-459.86),Lista Subdistribuidor PC=4223.8; clientespremium=4487.79; Lista Supermercados=4723.99
930,7702433298476,7702433298476,Esmalte Fantastic Campari 36 Vogue,4143,4602.86,6056.39,-459.86,POR DEBAJO del mayorista (-459.86),Lista Subdistribuidor PC=4223.8; clientespremium=4487.79; Lista Supermercados=4723.99
913,7702433289719,7702433289719,Esmalte Fantastic Incoloro 01 Vogue,4143,4602.86,6056.39,-459.86,POR DEBAJO del mayorista (-459.86),Lista Subdistribuidor PC=4223.8; clientespremium=4487.79; Lista Supermercados=4723.99
936,7702433299077,7702433299077,Esmalte Fantastic Rojo Rubi 62 Vogue,4143,4602.86,6056.39,-459.86,POR DEBAJO del mayorista (-459.86),Lista Subdistribuidor PC=4223.8; clientespremium=4487.79; Lista Supermercados=4723.99
941,7702433290364,7702433290364,Esmalte Fantastic Porcelana 109 Vogue,4143,4602.86,6056.39,-459.86,POR DEBAJO del mayorista (-459.86),Lista Subdistribuidor PC=4223.8; clientespremium=4487.79; Lista Supermercados=4723.99
1715,PANTERA-079,PANTERA-079,Bolsa de Cauchos Para El Cabello Surtidos Pantera Celeste,666.4,952,1579.13,-285.6,POR DEBAJO del mayorista (-285.6),Lista Subdistribuidor PC=732.31; clientespremium=952; Lista Cañaveral=1749.3
2034,15191,15191,Pestañina Maxi Volumen Silicon Prosa,13300,13332.76,20000,-32.76,POR DEBAJO del mayorista (-32.76),Lista Subdistribuidor PC=11999.48; Lista Caribe Supermercados=13999.4; clientespremium=12932.78
2321,151551,151551,Pestañina Profesional Silicon Cafe Prosa,13300,13332.76,20000,-32.76,POR DEBAJO del mayorista (-32.76),Lista Subdistribuidor PC=11999.48; Lista Caribe Supermercados=13999.4; clientespremium=12932.78
1751,6971626276633,6971626276633,Set Rulos 6 Unidades,7862,7700,7700,162,POR ENCIMA del general (+162),clientespremium=7700
674,6971626276381,6971626276381,Set De Manicure 10 Piezas,9581,9405,475200.32,176,entre mayorista y general,clientespremium=8934.75; Lista el SI=9405
525,7702433292719,7702433292719,Sombra Tono 1 Raymar,14286,13953.51,18359.89,332.49,entre mayorista y general,Lista Subdistribuidor PC=12804.4; clientespremium=13604.68; Lista Supermercados=14320.71
1125,6971626276459,6971626276459,Set De Manicure 12 Piezas,10073,9500,9500,573,POR ENCIMA del general (+573),clientespremium=9500; Lista el SI=9500
1482,7900083011760,7900083011760,Base Liquida Soft Blend F20 Ruby Rose,22660,21193.33,21193.33,1466.67,POR ENCIMA del general (+1466.67),clientespremium=21193.33
1486,7900083011807,7900083011807,Base Liquida Soft Blend F60 Ruby Rose,22660,21193.33,21193.33,1466.67,POR ENCIMA del general (+1466.67),clientespremium=21193.33
340,7703799235044,7703799235044,Labial Liquido Resist Invencible Vogue,20792,18410.49,25078.27,2381.51,entre mayorista y general,Lista Subdistribuidor PC=0; Lista Caribe Supermercados=0; clientespremium=19318.82
163,7707197601944,7707197601944,Acondicionador GLISS 200ml Oil Nutritive -25,13617,11089.61,14000.35,2527.39,entre mayorista y general,Lista Caribe Supermercados=11865.49
950,6971626277043,6971626277043,Kit De Aplicación De Maquillaje Flor,8845,6000,6000,2845,POR ENCIMA del general (+2845),clientespremium=6000; Lista el SI=6000
1402,7702186020331,7702186020331,Pestañina Profesional Silicon Prosa,13300,9600,9600,3700,POR ENCIMA del general (+3700),clientespremium=9600
1041,7897042013180,7897042013180,Polvo Compacto Spf 25 Canela Ana Maria,24343,20500,29999.9,3843,entre mayorista y general,Lista Subdistribuidor PC=18450; clientespremium=19885; Lista Supermercados=23999.92
2158,7509552839166P,7509552839166P,Brillo Corona Kids Miis Cosmetics,4233,1.19,1.19,4231.81,POR ENCIMA del general (+4231.81),
1282,7702029010192,7702029010192,Polvo Suelto Bronceado Bardot,16080,11826.77,16895.38,4253.23,entre mayorista y general,Lista Subdistribuidor PC=10644.09; Lista Caribe Supermercados=12418.11; clientespremium=11471.97
2728,11325,11325,Set Lápiz De Cejas X 2 Raymar,8572,4285.71,5000,4286.29,POR ENCIMA del general (+3572),clientespremium=4157.14; Lista Subdistribuidor PC=3857.14; Lista Caribe Supermercados=4500
708,62744636459162,62744636459162,Iluminador Holo Shine 03 Melu,16844,12000,12000,4844,POR ENCIMA del general (+4844),clientespremium=12000; Lista el SI=12000
406,7509552835380,7509552835380,Corrector Alta Cobertura Tono 1 Miis Cosmetics,12498,7190.11,9218.08,5307.89,POR ENCIMA del general (+3279.92),Lista Subdistribuidor PC=6428.8; clientespremium=6830.6; Lista Supermercados=7190.11
434,7509552949780,7509552949780,Base Liquida Resist Natural Vogue,33310.48,27991.62,35886.69,5318.86,entre mayorista y general,Lista Subdistribuidor PC=25027.8; clientespremium=26592.04; Lista Supermercados=27991.62
476,7509552949810,7509552949810,Base Liquida Resist Glamour Vogue,33310.48,27991.62,35886.69,5318.86,entre mayorista y general,Lista Subdistribuidor PC=25027.8; clientespremium=26592.04; Lista Supermercados=27991.62
433,7509552949797,7509552949797,Base Liquida Resist Avellana Vogue,33310.48,27991.62,35886.69,5318.86,entre mayorista y general,Lista Subdistribuidor PC=25027.8; clientespremium=26592.04; Lista Supermercados=27991.62
475,7509552949803,7509552949803,Base Liquida Resist Porcelana Vogue,33310.48,27991.62,35886.69,5318.86,entre mayorista y general,Lista Subdistribuidor PC=25027.8; clientespremium=26592.04; Lista Supermercados=27991.62
2463,7708162555033,7708162555033,Perfume Mini x3 Cítricos Click Hair,35108,29520,36900,5588,entre mayorista y general,clientespremium=28634.4; Lista Subdistribuidor PC=26568; Lista Caribe Supermercados=30996
1224,7893694003937,7893694003937,Gel 300ml Ponto,36235.5,30450,43500,5785.5,entre mayorista y general,Lista Subdistribuidor PC=27405; Lista Caribe Supermercados=31972.5; clientespremium=29536.5
1224,7893694003937,7893694003937,Gel 300ml Ponto,36235.5,30450,43500,5785.5,entre mayorista y general,Lista Subdistribuidor PC=27405; Lista Caribe Supermercados=31972.5; clientespremium=29536.5
1178,6971626273687,6971626273687,Contorno Facial En Barra Tono #01 Chocolate Alma Beauty,17143,11000,11000,6143,POR ENCIMA del general (+6143),clientespremium=11000; Lista el SI=11000
817,6971626279399,6971626279399,Espejo De Tocador Redondo Premium Importados,19653,13500,13500,6153,POR ENCIMA del general (+6153),clientespremium=13500; Lista el SI=13500
526,7509552838862,7509552838862,Corrector Alta Cobertura Tono 4 Miis Cosmetics,12498,6140.4,8306.2,6357.6,POR ENCIMA del general (+4191.8),Lista Subdistribuidor PC=0; Lista Caribe Supermercados=0; clientespremium=5907.97
405,7702433292818,7702433292818,Mantequilla Corporal Mini Daiquiri Miis Cosmetics,13607,7190.11,9218.08,6416.89,POR ENCIMA del general (+4388.92),Lista Subdistribuidor PC=6428.8; clientespremium=6830.6; Lista Supermercados=7190.11
1705,6971822831001,6971822831001,Rubor Cremoso Pro Tono 5 Miis Cosmetics,17638,10800,10800,6838,POR ENCIMA del general (+6838),clientespremium=10800; Lista el SI=10800
775,75095528252680,75095528252680,Labial Y Delineador 2 En 1 Tono 1 Raymar,7143,1.19,1.19,7141.81,POR ENCIMA del general (+7141.81),clientespremium=1.19
